,报道时间,省份,城市,新增确诊,新增出院,新增死亡,消息来源,来源链接1,来源链接2,来源链接3,备注,时间,聚类标签,latitude,longitude
5141,2020-1-31,北京,西城区,1.0,0.0,0.0,北京卫健委,https://baijiahao.baidu.com/s?id=1657215828657060348&wfr=spider&for=pc,0.0,0.0,0.0,2020-01-31,1,39.91812360584148,116.37251358116619
5142,2020-1-31,北京,朝阳区,1.0,0.0,0.0,北京卫健委,https://baijiahao.baidu.com/s?id=1657215828657060348&wfr=spider&for=pc,0.0,0.0,0.0,2020-01-31,1,43.84064147496199,125.295401255854
5143,2020-1-31,北京,海淀区,2.0,0.0,0.0,北京卫健委,https://baijiahao.baidu.com/s?id=1657215828657060348&wfr=spider&for=pc,0.0,0.0,0.0,2020-01-31,1,39.96548984110075,116.3054340544974
5144,2020-1-31,北京,通州区,2.0,0.0,0.0,北京卫健委,https://baijiahao.baidu.com/s?id=1657215828657060348&wfr=spider&for=pc,0.0,0.0,0.0,2020-01-31,1,32.07035573967588,121.08142549497644
5145,2020-1-31,北京,大兴区,1.0,0.0,0.0,北京卫健委,https://baijiahao.baidu.com/s?id=1657215828657060348&wfr=spider&for=pc,0.0,0.0,0.0,2020-01-31,1,39.73255523655448,116.348625212231
5146,2020-1-31,北京,昌平区,3.0,0.0,0.0,北京卫健委,https://baijiahao.baidu.com/s?id=1657215828657060348&wfr=spider&for=pc,0.0,0.0,0.0,2020-01-31,1,40.22641337159427,116.23761791731043
5147,2020-1-31,辽宁,锦州市,1.0,0.0,0.0,辽宁卫健委,http://ln.people.com.cn/BIG5/n2/2020/0131/c378315-33752780.html,0.0,0.0,0.0,2020-01-31,1,41.10093149946208,121.13259630055518
5148,2020-1-31,辽宁,铁岭市,1.0,0.0,0.0,辽宁卫健委,http://ln.people.com.cn/BIG5/n2/2020/0131/c378315-33752780.html,0.0,0.0,0.0,2020-01-31,1,42.22994799718447,123.73236520917769
5149,2020-1-31,辽宁,盘锦市,1.0,0.0,0.0,辽宁卫健委,http://ln.people.com.cn/BIG5/n2/2020/0131/c378315-33752780.html,0.0,0.0,0.0,2020-01-31,1,41.12587528873715,122.07749009021381
5150,2020-1-31,上海,浦东新区,3.0,0.0,0.0,上海卫健委,https://mp.weixin.qq.com/s?__biz=MjM5NTA5NzYyMA==&mid=2654122113&idx=1&sn=1626a6bd9e52c1e0bf81832fbf5fb9fb&chksm=bd3badfa8a4c24ec071a546df187f781c49ee5e7f2c570e8eaea036e78a240f10fc4874a5fe6&mpshare=1&scene=1&srcid=&sharer_sharetime=1580448552311&sharer_shareid=0383e513d8df3dcc0325625527b7581d&exportkey=AQkJFNweIIkFgi%2FDSo8diN8%3D&pass_ticket=Db5UJeN%2BtuRik1JM1H8PdJGQ1%2FsKUHM2OS45z2DxUT%2BJlRbzDepC8Nd5TMFbkrgx#rd,0.0,0.0,0.0,2020-01-31,1,31.227348292436346,121.55045460683195
